City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Fukue,JP,32.6881,128.8419,66.56,100,75,5.75,light rain
304,Moratuwa,LK,6.773,79.8816,80.62,89,100,10.29,overcast clouds
305,Islamkot,PK,24.6997,70.177,84.52,71,0,11.86,clear sky
306,Rawson,AR,-43.3002,-65.1023,45.77,89,23,10.31,few clouds
307,Meulaboh,ID,4.1363,96.1285,79.99,86,94,2.26,light rain
308,Pacifica,US,37.6138,-122.4869,88.92,79,20,3.0,haze
309,Yuzhnyy,RU,53.2542,83.6936,61.18,72,40,5.17,scattered clouds
310,Holly Hill,US,29.2436,-81.0376,80.74,79,75,5.01,broken clouds
311,Xingyi,CN,24.1877,102.817,54.34,79,100,5.08,overcast clouds
312,Weihe,CN,32.9952,105.3247,69.8,46,100,3.83,overcast clouds
313,Basco,PH,20.4487,121.9702,84.4,80,11,26.91,few clouds
314,Venado Tuerto,AR,-33.7456,-61.9688,55.89,76,16,7.25,few clouds
315,Porosozero,RU,62.7191,32.727,54.86,69,0,1.19,clear sky
316,Lieksa,FI,63.3167,30.0167,53.17,78,0,5.95,clear sky
317,Codrington,AU,-38.2667,141.9667,54.95,48,30,14.63,scattered clouds
318,Hovd,MN,48.0056,91.6419,73.56,30,13,0.4,few clouds
319,Yaan,NG,7.3833,8.5667,70.54,96,100,9.8,heavy intensity rain
320,Santiago De Puringla,HN,14.3585,-87.9032,67.6,90,56,1.34,broken clouds
321,Yarmouth,US,41.7057,-70.2286,66.65,79,90,4.0,mist
322,Aswan,EG,24.0934,32.907,80.96,20,58,14.94,broken clouds
323,Marsh Harbour,BS,26.5412,-77.0636,78.35,80,85,16.13,overcast clouds
324,Manokwari,ID,-0.8667,134.0833,78.57,83,100,3.0,overcast clouds
325,Naze,JP,28.3667,129.4833,81.52,85,100,18.5,light rain
326,Chara,RU,56.9064,118.2631,67.17,38,12,3.22,few clouds
327,Clovis,US,36.8252,-119.7029,103.15,22,20,4.0,few clouds
328,Forio,IT,40.7342,13.8646,68.81,69,1,1.01,clear sky
329,Moron,AR,-34.6534,-58.6198,62.49,78,75,4.0,broken clouds
330,Talcahuano,CL,-36.7167,-73.1167,58.68,100,90,5.75,overcast clouds
331,Vostok,RU,46.4856,135.8833,47.89,99,100,1.9,light rain
332,Sibolga,ID,1.7427,98.7792,82.38,79,100,2.01,overcast clouds
333,Lyubytino,RU,58.8122,33.3922,49.39,81,60,4.97,broken clouds
334,Baykit,RU,61.67,96.37,48.4,53,100,4.56,overcast clouds
335,Sahuaripa,MX,29.05,-109.2333,92.59,12,52,8.52,broken clouds
336,Plouzane,FR,48.3833,-4.6167,50.05,90,2,1.45,fog
337,Havoysund,NO,70.9963,24.6622,52.68,86,6,17.0,clear sky
338,Pangnirtung,CA,66.1451,-65.7125,26.17,89,90,5.77,overcast clouds
339,Synya,RU,65.3718,58.0387,46.49,64,1,4.85,clear sky
340,Tateyama,JP,34.9833,139.8667,71.87,94,100,28.36,moderate rain
341,Poum,NC,-20.2333,164.0167,75.56,60,38,10.54,scattered clouds
342,Vanimo,PG,-2.6741,141.3028,87.53,63,64,2.24,broken clouds
343,Harper,LR,4.375,-7.7169,79.34,87,100,6.04,overcast clouds
344,Saposoa,PE,-6.934,-76.7716,77.61,99,100,2.06,overcast clouds
345,San Juan De Los Morros,VE,9.9115,-67.3538,77.27,67,98,1.5,overcast clouds
